eC,eD,D13CH3D,D12CH2D2,sC,sD,s13CD,sDD,dGr
68.08414061,-182.6556514,5.232752608,16.51669231,0.279057973,21.52778635,0.119008991,32.07508158,-20.8058187
69.66654165,-209.223701,4.541362972,8.198355027,1.043998385,33.93019385,0.472220032,53.70222138,-25.68812647
73.95101741,-258.7668079,2.996680508,-15.53269021,2.907972141,54.73830546,1.243884372,16.14923805,-30.57043424
79.560439,-306.7859576,1.944691121,-27.11983028,5.278407771,80.27289499,1.791986747,19.62594606,-35.45274201
82.90472676,-333.3061274,2.231487425,-25.6125091,6.907994876,94.20221339,1.677109481,19.84295358,-40.33504977
83.10085877,-345.1638519,2.888661926,-21.05209959,7.656922028,101.817319,1.348791003,21.33248293,-45.21735754
81.04931506,-350.3096727,3.340613992,-17.67843078,7.924925727,107.0602557,1.080940166,22.7659829,-50.09966531
77.72241047,-352.6915774,3.575653383,-15.61201246,7.898614612,110.8738127,0.886771565,23.51325405,-54.98197308
73.59793828,-353.9295856,3.682785386,-14.77933254,7.550880082,113.1589602,0.771455482,23.81336462,-59.86428085
68.85012422,-355.1888454,3.715853485,-13.85401658,6.966537104,113.7574436,0.721493681,23.9486027,-64.74658862
63.78401232,-356.5226943,3.697047176,-13.76321711,6.460606323,112.7815166,0.709510542,24.02332687,-69.62889639
58.90934308,-358.2575972,3.631495005,-14.09038497,6.337451826,110.3131044,0.72257203,24.14207477,-74.51120416
54.66814937,-360.446726,3.515786416,-14.83129174,6.578146272,106.5511877,0.764515167,24.3991473,-79.39351193
51.22424619,-362.9629864,3.343374096,-16.00667604,6.936662071,101.9424011,0.841508768,24.86777233,-84.2758197
48.48857143,-365.5001541,3.109316263,-17.61902722,7.218027422,97.27277995,0.946365864,25.55531504,-89.15812747
46.25725691,-367.6742776,2.814226792,-19.61058624,7.355385122,93.52263447,1.056464943,26.39326482,-94.04043524
44.32954026,-369.1931421,2.466155679,-21.85420527,7.366961796,91.47264892,1.146226501,27.28698917,-98.92274301
42.56609706,-369.9690009,2.080036126,-24.18640815,7.309183756,91.3376257,1.199206087,28.1682702,-103.8050508
40.8992298,-370.0940057,1.675983,-26.46728955,7.244424384,92.74984674,1.210437699,29.00322146,-108.6873585
39.31891686,-369.7500538,1.277641713,-28.60550605,7.219935692,95.05586363,1.182849417,29.77220231,-113.5696663
37.85372687,-369.1366067,0.910565636,-30.54275635,7.258396028,97.6214901,1.125572312,30.45950405,-118.4519741
36.5508559,-368.4445127,0.599178944,-32.21327425,7.360683796,99.96934851,1.056601359,31.05312207,-123.3342819
35.44101714,-367.8469367,0.359870338,-33.52631271,7.522119967,101.7968254,1.000885195,31.53809029,-128.2165896
34.46388222,-367.4662597,0.189323142,-34.41775216,7.769507371,102.9890531,0.972277542,31.8961134,-133.0988974
33.42997925,-367.280454,0.059206749,-34.95441108,8.194035881,103.6717364,0.961196027,32.14338506,-137.9812052
32.2908246,-367.0774315,-0.055485686,-35.32779162,8.818178976,104.1558221,0.952693414,32.3422132,-142.8635129
31.23390729,-366.7355226,-0.155618239,-35.67020225,9.493964287,104.6329346,0.941147052,32.53027564,-147.7458207
30.33405032,-366.287828,-0.246793177,-36.0541367,10.1225697,105.1419993,0.924101816,32.72558163,-152.6281285
29.53989858,-365.7416074,-0.351017227,-36.61169562,10.70939004,105.7335546,0.894050955,32.9705297,-157.5104362
28.79984943,-365.055361,-0.501093814,-37.55703033,11.2786223,106.5002084,0.835557186,33.33888809,-162.392744
