eC,eD,D13CH3D,D12CH2D2,sC,sD,s13CD,sDD,dGr
58.62921679,-157.0777478,4.631617254,13.31979942,0.015745429,0.469824125,0.006411691,0.09693912,-11.14519661
58.9224754,-161.8500995,4.512237597,11.53410269,0.133160759,3.704700232,0.063144829,1.165867637,-16.50282236
60.30501851,-180.0856448,3.945924194,3.282725913,0.624945374,14.90119277,0.31061887,5.952502695,-21.8604481
65.07974411,-227.8836665,2.376343062,-17.34981772,2.238091687,40.75896984,0.968189143,16.38748134,-27.21807384
72.79787997,-284.9839998,1.186841373,-30.82714567,4.842760987,68.40061591,1.545384348,21.96398737,-32.57569958
77.63925346,-319.7502767,1.579411357,-28.02386776,6.645590688,85.29871894,1.584773461,22.82406774,-37.93332532
77.38618175,-336.0785276,2.322143982,-22.24188929,7.115024705,95.48043966,1.431529183,23.65921174,-43.29095106
73.54542414,-343.6890139,2.782940041,-18.15892104,6.893860005,102.9684663,1.225179562,23.57903761,-48.64857681
68.13900089,-347.7973127,2.994561973,-15.69781686,6.515922831,108.5507645,0.998736071,23.24879627,-54.00620255
62.56296633,-350.8389634,3.066067154,-14.33870707,6.207086642,111.7248115,0.818782018,23.04643956,-59.36382829
57.55982491,-354.0819765,3.055610585,-13.82756781,6.132309578,112.2819654,0.731138848,23.12734418,-64.72145403
53.42860923,-358.2234436,2.984179225,-14.03974079,6.311582132,110.3799188,0.743235346,23.55633481,-70.07907977
50.15811053,-363.6122993,2.856797599,-14.90563119,6.591536331,106.3905542,0.837543912,24.3510745,-75.43670551
47.55239984,-370.2849778,2.67469254,-16.36614447,6.818510605,100.9114578,0.979849489,25.45421385,-80.79433126
45.35753414,-377.9643765,2.441700877,-18.32532104,6.930252049,94.78182813,1.127135626,26.73712261,-86.151957
43.3551418,-386.1423058,2.166670391,-20.6251957,6.943865472,88.92527539,1.241813462,28.04754577,-91.50958274
41.416314,-394.241052,1.863312921,-23.07079453,6.921111756,84.06332892,1.305069835,29.2614852,-96.86720848
39.52083101,-401.746019,1.54988187,-25.49120194,6.927853907,80.51780997,1.318768201,30.30846766,-102.2248342
37.75008306,-408.2439181,1.25009757,-27.75521243,6.989965872,78.23222956,1.297097536,31.16594949,-107.58246
36.28006933,-413.3640552,0.995904923,-29.71638362,7.070977216,76.93476987,1.258293481,31.83010933,-112.9400857
35.37645425,-416.6782216,0.829700134,-31.11791348,7.095305383,76.3043865,1.222023668,32.27127322,-118.2977114
35.15325406,-418.0401199,0.771925436,-31.75005445,7.041866558,76.06820938,1.203276177,32.46060874,-123.6553372
35.2348155,-418.332305,0.769335624,-31.90724889,6.982927449,76.00743284,1.197590462,32.50500741,-129.0129629
35.3239665,-418.3904733,0.774651654,-31.94093725,6.947039943,75.99722653,1.195148044,32.51704911,-134.3705887
35.37181795,-418.4778902,0.776787878,-31.96314906,6.926769599,76.00260479,1.192317365,32.53329865,-139.7282144
35.38175369,-418.7255855,0.772592722,-32.01854145,6.917128802,76.01725869,1.18740277,32.57599344,-145.0858402
35.37371375,-419.3604828,0.758992228,-32.17897224,6.913717888,76.04048977,1.177684595,32.69465575,-150.4434659
35.36497885,-420.9059463,0.728926559,-32.59623538,6.912782878,76.08243584,1.157723563,33.00418462,-155.8010916
