Strain,Reference,Data Author (experiments/measurement),dD_H2O,dse_H2O,Substrate,Temp,d13C_CH4,cse,dD_CH4,dse,D13CH3D,13CDse,D12CH2D2,DDse,Incubation hours, total CH4 (umol)**,Label,eps_CH4_H2O,eps_se,alphaH,alphaH_se,alphaC,alphaC_se,dG_ini,dG_f,dG_a,dG_range
Rice/Radbound,,,,,,,,,,,,,,,,,"1: MeOH (H:high temp, L: low temp) 2. TMA 3. TMB 4. H2CO2 5. Acetate",,,,,,,,,,
Methanomassiliicoccus luminyensis,this study LL ,Jeanine Ash^2,-50.3,0.1,MeOH + H2,37 °C,-97.31,0.005,-271.38,0.02,-2.51,0.15,-44.85,0.62,216,1513,1HL,-232.78,0.05,0.77,0.00005,0.94,0.0012,,,,
Methanomassiliicoccus luminyensis,this study KK,Jeanine Ash^2,-50.3,0.1,MeOH + H2,37 °C,-97.96,0.004,-271.95,0.01,-2.15,0.15,-44.5,0.58,216,1613,1HL,-233.37,0.04,0.77,0.00004,0.94,0.0012,,,,
Methanomassiliicoccus luminyensis,this study II,Jeanine Ash^2,-50.3,0.1,TMA + H2,37 °C,-64.91,0.003,-359,0.02,-0.26,0.13,-17.86,0.64,216,1222,2H,-325.04,0.04,0.67,0.00004,0.98,0.00034,,,,
Methanomassiliicoccus luminyensis,this study HH,Jeanine Ash^2,-50.3,0.1,TMA + H2,37 °C,-69.64,0.005,-362.56,0.03,-0.48,0.21,-16.49,1.02,216,264,2H,-328.79,0.05,0.67,0.00005,0.97,0.00034,,,,
Methanomassiliicoccus luminyensis,this study QQ,Jeanine Ash^2,-50.3,0.1,TMA + H2,37 °C,-67.95,0.005,-361.87,0.03,0.08,0.18,-16.55,0.94,216,618,2H,-328.06,0.04,0.67,0.00004,0.97,0.00034,,,,
Methermicoccus shengliensis ,this study D,Jeanine Ash^2,-50.3,0.1,MeOH,65 °C,-79.11,0.003,-275.58,0.03,-4.17,0.14,-45.8,0.66,55,1671,1H,-237.2,0.05,0.76,0.00005,0.96,0.00122,,,,
Methermicoccus shengliensis ,this study E,Jeanine Ash^2,-50.3,0.1,MeOH,65 °C,-72.15,0.003,-270.38,0.03,-5.51,0.12,-47.82,0.56,55,1794,1H,-231.72,0.05,0.77,0.00005,0.96,0.00123,,,,
Methermicoccus shengliensis ,this study F,Jeanine Ash^2,-50.3,0.1,MeOH,65 °C,-66,0.005,-269.49,0.03,-3.22,0.21,-45.7,0.8,55,2069,1H,-230.79,0.05,0.77,0.00005,0.97,0.00124,,,,
Methermicoccus shengliensis ,this study K,Jeanine Ash^2,-50.3,0.1,TMB,65 °C,-86.65,0.005,-282.04,0.02,0.36,0.21,-34.29,0.72,128,1064,3H,-244.01,0.05,0.76,0.00005,0.95,0.0013,,,,
